descripcion,horas
Frontend Desarrollo Baja Maquetación de una página de aterrizaje básica con HTML5 y CSS puro sin frameworks,12
Frontend Investigación Baja Estudio y pruebas de selectores CSS avanzados y especificidad para el diseño del sitio,6
Frontend Desarrollo Media Creación de un formulario de registro con validaciones dinámicas mediante JavaScript nativo,14
Frontend Arreglo Baja Corrección de errores de espaciado y alineación en el pie de página usando Flexbox,4
Frontend Desarrollo Alta Desarrollo de una tabla de datos interactiva que permita ordenar columnas con JavaScript,22
Frontend Investigación Media Comparativa práctica entre el uso de Fetch API y Axios para peticiones externas,8
Frontend Arreglo Media Solución de problemas de visualización en menús hamburguesa para resoluciones móviles,10
Frontend Refactorización Baja Limpieza de estilos repetidos en el archivo CSS y creación de variables globales,7
Frontend Desarrollo Media Implementación de un carrusel de imágenes manual sin usar librerías externas,16
Frontend Documentación Baja Creación de una guía de estilos con los colores y tipografías usados en la web,5
Frontend Desarrollo Baja Creación de una estructura de cabecera con logo y navegación centrada,6
Frontend Investigación Alta Estudio de la arquitectura de componentes y flujo de datos en un framework moderno,20
Frontend Desarrollo Media Implementación de una galería de fotos con efecto modal al hacer clic,12
Frontend Arreglo Baja Ajuste de colores para cumplir con los ratios de contraste de accesibilidad,4
Frontend Desarrollo Alta Creación de un buscador de productos que filtre resultados en una lista estática,18
Frontend Refactorización Media Migración de un diseño basado en floats a un sistema moderno de CSS Grid,15
Frontend Arreglo Media Reparación de errores en el envío de formularios por problemas de preventDefault,6
Frontend Desarrollo Baja Implementación de animaciones simples de hover en botones y enlaces,5
Frontend Investigación Media Aprendizaje sobre el uso de LocalStorage para guardar preferencias de usuario,8
Frontend Documentación Media Elaboración de un manual sobre cómo añadir nuevos iconos a la biblioteca del proyecto,6
Frontend Desarrollo Media Maquetación de un panel de perfil de usuario con edición de datos personales,14
Frontend Arreglo Baja Corrección de saltos de línea inesperados en textos largos dentro de tarjetas,3
Frontend Desarrollo Alta Desarrollo de una calculadora de presupuestos interactiva con lógica JS,25
Frontend Refactorización Alta Reestructuración de archivos JavaScript para separar la lógica de la manipulación del DOM,20
Frontend Arreglo Media Solución de problemas de carga de fuentes externas que ralentizan la página,9
Frontend Desarrollo Baja Inserción de mapas interactivos de Google Maps mediante el uso de iFrames,4
Frontend Investigación Baja Búsqueda de recursos y librerías gratuitas de iconos compatibles con el proyecto,5
Frontend Desarrollo Media Implementación de un sistema de pestañas (Tabs) para organizar contenido extenso,10
Frontend Arreglo Alta Solución de vulnerabilidades de seguridad básicas en la manipulación de innerHTML,18
Frontend Documentación Baja Registro de los cambios realizados en el CSS para el control de versiones,3
Frontend Desarrollo Baja Creación de un pie de página con enlaces a redes sociales y mapa del sitio,5
Frontend Investigación Media Pruebas de rendimiento web usando herramientas como Lighthouse o PageSpeed,7
Frontend Desarrollo Media Maquetación de un sistema de tarjetas (cards) para mostrar noticias recientes,12
Frontend Arreglo Baja Reparación de iconos que no cargan correctamente en el navegador Safari,4
Frontend Desarrollo Alta Implementación de un sistema de notificaciones visuales (Toasts) tras acciones del usuario,20
Frontend Refactorización Baja Optimización de imágenes pesadas y cambio a formatos modernos como WebP,6
Frontend Arreglo Media Ajuste de formularios que se desbordan en pantallas de tablets pequeñas,8
Frontend Desarrollo Media Creación de una barra de progreso que indique el avance en un formulario multi-paso,14
Frontend Investigación Alta Estudio de patrones de diseño para mejorar la experiencia de usuario (UX),15
Frontend Documentación Media Documentación técnica de las funciones JavaScript creadas para el catálogo,8
Frontend Desarrollo Baja Añadir un botón de volver arriba con desplazamiento suave (smooth scroll),4
Frontend Arreglo Baja Corrección de errores ortográficos y gramaticales en la interfaz de usuario,2
Frontend Desarrollo Media Implementación de un filtro por categorías para una lista de artículos,11
Frontend Arreglo Media Resolución de problemas de superposición de elementos debido a índices Z (z-index),7
Frontend Desarrollo Alta Desarrollo de una interfaz de chat simulada con mensajes entrantes y salientes,28
Frontend Refactorización Media Limpieza de código JavaScript eliminando funciones duplicadas o redundantes,10
Frontend Arreglo Baja Ajuste del tamaño de los botones para facilitar el clic en pantallas táctiles,5
Frontend Desarrollo Media Creación de un acordeón de preguntas frecuentes (FAQ) interactivo,9
Frontend Investigación Media Investigación sobre cómo implementar el modo oscuro mediante variables CSS,10
Frontend Documentación Baja Creación de comentarios explicativos en los bloques de código más complejos,5
Frontend Desarrollo Baja Maquetación de una página de error 404 personalizada para el sitio,8
Frontend Arreglo Media Solución de parpadeos visuales al cargar contenido dinámico desde una API,10
Frontend Desarrollo Alta Implementación de validaciones complejas (Regex) para campos de DNI y teléfono,16
Frontend Refactorización Baja Actualización de la estructura HTML para mejorar el SEO y la semántica,8
Frontend Arreglo Baja Corrección de márgenes asimétricos en el contenedor principal de la web,4
Frontend Desarrollo Media Diseño de un banner promocional con temporizador de cuenta atrás,12
Frontend Investigación Alta Análisis de frameworks de CSS como Tailwind o Bootstrap para futuros módulos,15
Frontend Documentación Media Manual explicativo sobre la estructura de archivos y carpetas del frontend,7
Frontend Desarrollo Baja Implementación de un sistema de tooltip para iconos poco descriptivos,5
Frontend Arreglo Media Reparación del funcionamiento de los enlaces internos de navegación (anclas),6
Frontend Desarrollo Alta Creación de un sistema de filtrado múltiple (precio, fecha, categoría) para productos,30
Frontend Refactorización Media Reorganización de las hojas de estilo dividiéndolas por componentes,12
Frontend Arreglo Baja Solución de problemas con la visualización de imágenes de fondo (background-size),4
Frontend Desarrollo Media Maquetación de una sección de testimonios con un diseño de rejilla,10
Frontend Investigación Media Estudio de los ciclos de renderizado del navegador para optimizar animaciones,9
Frontend Documentación Alta Redacción de una guía de buenas prácticas en HTML y CSS para el equipo,12
Frontend Desarrollo Baja Inclusión de un selector de idiomas simple (sin traducción automática),6
Frontend Arreglo Media Corrección de formularios que pierden los datos al recargar por error,9
Frontend Desarrollo Alta Desarrollo de un gráfico de barras interactivo usando elementos SVG y JS,24
Frontend Refactorización Alta Migración de librerías de manipulación del DOM antiguas a estándares modernos,20
Frontend Arreglo Baja Ajuste de la posición de los elementos fijos (sticky) durante el scroll,5
Frontend Desarrollo Media Implementación de un sistema de valoración por estrellas para productos,11
Frontend Investigación Baja Búsqueda de tipografías legibles en Google Fonts que encajen con el diseño,4
Frontend Documentación Baja Registro de errores comunes encontrados durante la fase de maquetación,5
Frontend Desarrollo Baja Creación de una ventana de cookies legalmente requerida con aviso simple,6
Frontend Arreglo Media Solución de problemas en los que el contenido pisa al pie de página,8
Frontend Desarrollo Alta Implementación de una vista de calendario para la selección de citas,26
Frontend Refactorización Media Mejora de la estructura de las clases CSS siguiendo la metodología BEM,14
Frontend Arreglo Baja Corrección de campos de entrada (input) que no se borran correctamente,3
Frontend Desarrollo Media Diseño de una pantalla de carga (spinner) personalizada mientras llega la info,7
Frontend Investigación Media Aprendizaje sobre el uso de Intersection Observer para carga diferida,10
Frontend Documentación Media Creación de un glosario de términos técnicos usados en la interfaz,6
Frontend Desarrollo Baja Añadir enlaces a la política de privacidad y términos de uso,3
Frontend Arreglo Media Resolución de conflictos visuales al usar múltiples librerías de estilos,9
Frontend Desarrollo Alta Desarrollo de una funcionalidad de arrastrar y soltar (drag and drop) básica,22
Frontend Refactorización Baja Simplificación del árbol de nodos HTML para aligerar la carga del sitio,7
Frontend Arreglo Baja Ajuste de la altura de línea (line-height) para mejorar la lectura de párrafos,4
Frontend Desarrollo Media Creación de una barra de búsqueda con sugerencias automáticas locales,13
Frontend Investigación Alta Prototipado de una nueva sección del sitio usando herramientas de diseño web,16
Frontend Documentación Alta Informe final de la fase de desarrollo web con capturas y explicaciones,15
Frontend Desarrollo Baja Integración de un reproductor de audio simple para archivos locales,7
Frontend Arreglo Media Solución de errores donde los vídeos no se auto-reproducen en móvil,6
Frontend Desarrollo Alta Implementación de un dashboard que resuma estadísticas de usuario con iconos,24
Frontend Refactorización Media Unificación de las funciones de validación de formularios en un solo archivo,10
Frontend Arreglo Baja Reparación de sombras excesivas que ensucian el diseño visual,3
Frontend Desarrollo Media Creación de una página de "Preguntas frecuentes" con búsqueda integrada,12
Frontend Investigación Media Estudio sobre el impacto de los scripts de terceros en el tiempo de carga,8
